filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,line_range,more_info
detr-main\models\detr.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,271,8,[271],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\models\detr.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,272,8,"[272, 273]",https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\models\matcher.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,32,8,[32],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\models\position_encoding.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,31,8,[31],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\models\segmentation.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,45,8,[45],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\models\segmentation.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,225,8,[225],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\models\segmentation.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,267,8,[267],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\models\segmentation.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,269,8,[269],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\models\segmentation.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,291,12,"[291, 292, 293, 294]",https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\util\box_ops.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,51,4,[51],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\util\box_ops.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,52,4,[52],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\util\misc.py,blacklist,B404,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Consider possible security implications associated with the subprocess module.,8,0,[8],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_imports.html#b404-import-subprocess

detr-main\util\misc.py,blacklist,B403,LOW,HIGH,https://cwe.mitre.org/data/definitions/502.html,Consider possible security implications associated with pickle module.,12,0,[12],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_imports.html#b403-import-pickle

detr-main\util\misc.py,blacklist,B301,MEDIUM,HIGH,https://cwe.mitre.org/data/definitions/502.html,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",127,25,[127],https://bandit.readthedocs.io/en/1.7.4/blacklists/blacklist_calls.html#b301-pickle

detr-main\util\misc.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,168,12,[168],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

detr-main\util\misc.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,253,15,[253],https://bandit.readthedocs.io/en/1.7.4/plugins/b603_subprocess_without_shell_equals_true.html

detr-main\util\misc.py,start_process_with_partial_path,B607,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,Starting a process with a partial executable path,259,8,[259],https://bandit.readthedocs.io/en/1.7.4/plugins/b607_start_process_with_partial_path.html

detr-main\util\misc.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,https://cwe.mitre.org/data/definitions/78.html,subprocess call - check for execution of untrusted input.,259,8,[259],https://bandit.readthedocs.io/en/1.7.4/plugins/b603_subprocess_without_shell_equals_true.html

detr-main\util\misc.py,try_except_pass,B110,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,"Try, Except, Pass detected.",263,4,[263],https://bandit.readthedocs.io/en/1.7.4/plugins/b110_try_except_pass.html

detr-main\util\misc.py,assert_used,B101,LOW,HIGH,https://cwe.mitre.org/data/definitions/703.html,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,294,12,[294],https://bandit.readthedocs.io/en/1.7.4/plugins/b101_assert_used.html

